PREDDEG,CONTROL,LOCALE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,PPTUG_EF,INEXPFTE,AVGFACSAL,PCTPELL,PCTFLOAN,CDR2,PAR_ED_PCT_PS,GRAD_DEBT_MDN,MD_FAMINC,MD_EARN_WNE_P6,MD_EARN_WNE_P8,COST
3.0,1.0,12.0,5196.0,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0778,7073.0,8651.0,0.6536,0.5351,0.114,0.6341719078,31000.0,23553.0,28974.0,35438.0,23167.0
3.0,1.0,12.0,12776.0,0.513,0.2528,0.0711,0.0819,0.0016,0.0005,0.1986,15256.0,11837.0,0.3308,0.4132,0.06,0.658776329,22300.0,34489.0,42911.0,45795.0,26257.0
3.0,2.0,12.0,228.0,0.2851,0.6623,0.0307,0.0,0.0044,0.0044,0.4342,5927.0,4134.0,0.7769,0.5896,0.071,0.4875,32189.0,15033.5,27988.0,34571.0,33485.51204186808
3.0,1.0,12.0,6985.0,0.7102,0.0873,0.0666,0.0389,0.0087,0.0016,0.1612,8733.0,10267.0,0.2173,0.3414,0.077,0.6898678414,20705.0,44787.0,52360.0,53186.0,25777.0
3.0,1.0,12.0,3296.0,0.0155,0.9251,0.0121,0.0015,0.0021,0.0009,0.0771,9349.0,8071.0,0.6976,0.7671,0.132,0.6565656566,31000.0,22080.5,26395.0,30177.0,21900.0
3.0,1.0,13.0,31360.0,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0789,8923.0,10777.0,0.1788,0.3388,0.066,0.7742873113,22750.0,66733.5,48273.0,51441.0,31024.0
1.0,1.0,32.0,963.0,0.6802,0.2285,0.0322,0.0042,0.0021,0.0,0.4725,8388.0,6950.0,0.2985,0.1508,0.204,0.4503239741,9766.0,22217.0,26667.0,29194.0,14041.0
3.0,1.0,31.0,2465.0,0.7574,0.1258,0.0503,0.0049,0.0146,0.0008,0.5513,8776.0,9088.0,0.4127,0.4306,0.067,0.5225035162,18051.0,29645.5,42451.0,44817.0,29022.86153954059
3.0,1.0,12.0,3307.0,0.4052,0.4584,0.0175,0.0287,0.0024,0.0009,0.261,7938.0,8366.0,0.4589,0.488,0.09,0.61810391,25000.0,29671.5,37969.0,39396.0,19771.0
3.0,1.0,13.0,25234.0,0.8269,0.0425,0.0395,0.0279,0.0025,0.0006,0.0907,8493.0,11608.0,0.1254,0.2787,0.045,0.8273528809,21000.0,72031.0,52489.0,56937.0,33650.0
3.0,2.0,12.0,968.0,0.7397,0.1519,0.0558,0.0227,0.001,0.0,0.0062,10997.0,7029.0,0.2268,0.6427,0.085,0.8275058275,25000.0,68094.5,45292.0,50580.0,35495.0
1.0,1.0,41.0,1101.0,0.3524,0.4886,0.0173,0.0054,0.0027,0.0045,0.5477,5561.0,6788.0,0.4801,0.2441,0.096,0.5697329377,10500.0,20813.0,28587.0,31644.0,9320.0
2.0,3.0,12.0,315.0,0.2,0.7429,0.0159,0.0063,0.0,0.0032,0.3175,7071.0,5521.0,0.6422,0.6833,0.174,0.5277116627,26123.0,20000.0,28684.0,29770.0,32195.0
2.0,1.0,32.0,1359.0,0.624,0.2009,0.0603,0.0125,0.0088,0.0007,0.3444,6011.0,9197.0,0.4131,0.1982,0.177,0.5781083953,7499.0,20456.0,30920.0,37898.0,9452.0
2.0,1.0,32.0,4809.0,0.633,0.2362,0.0455,0.0079,0.0154,0.0015,0.4415,5423.0,7612.0,0.337,0.2168,0.119,0.5648803505,11000.0,24150.0,28639.0,30525.0,14446.0
3.0,2.0,12.0,1587.0,0.4461,0.4058,0.046,0.0113,0.0032,0.0025,0.2394,7286.0,6486.0,0.461,0.6093,0.077,0.5699680511,23000.0,24037.5,36092.0,37927.0,36169.0
1.0,1.0,13.0,3446.0,0.659,0.1953,0.0731,0.0081,0.0029,0.0012,0.4231,5098.0,7129.0,0.4615,0.0,0.142,0.4850455137,10679.120520461376,16623.0,26555.0,28666.0,10613.0
1.0,1.0,13.0,3069.0,0.5435,0.3258,0.0639,0.0098,0.0026,0.0016,0.5914,6666.0,6965.0,0.4755,0.0,0.0,0.5148462354,9894.674063200717,15816.0,26724.0,27392.0,8592.0
1.0,1.0,32.0,4207.0,0.7754,0.0839,0.0858,0.0062,0.0057,0.0,0.4699,7032.0,7023.0,0.3966,0.2135,0.165,0.501186843,11000.0,27572.0,32112.0,34485.0,15488.0
2.0,1.0,32.0,856.0,0.1671,0.7874,0.0093,0.0082,0.0,0.0,0.4159,4052.0,6421.0,0.4106,0.0,0.0,0.4874118832,10205.508669992358,14330.0,24633.0,27331.0,9195.0
1.0,2.0,21.0,570.0,0.2807,0.6456,0.0211,0.007,0.0035,0.0018,0.5912,4772.0,6625.0,0.6398,0.7385,0.117,0.4790967348,21500.0,18321.0,33074.0,32367.0,28152.0
3.0,2.0,12.0,810.0,0.6691,0.1914,0.0568,0.0037,0.0049,0.0012,0.0235,8160.0,7476.0,0.3921,0.7354,0.078,0.6544,27000.0,37577.0,39452.0,43889.0,39717.0
3.0,2.0,13.0,72.0,0.8472,0.0833,0.0556,0.0,0.0,0.0,0.5972,8422.0,5201.0,0.3929,0.0595,0.133,0.6403281423007072,15076.655356317266,36524.0,41320.0,42473.52944558368,17810.0
1.0,1.0,12.0,698.0,0.245,0.6476,0.0415,0.0014,0.0029,0.0014,0.6805,6589.0,6406.0,0.4644,0.0,0.0,0.4100346021,9979.637857887563,13959.0,22897.0,25100.0,12078.0
3.0,1.0,23.0,7066.0,0.6134,0.2591,0.0018,0.0052,0.005,0.0013,0.1066,6828.0,7560.0,0.4386,0.7053,0.077,0.6362297496,22189.0,35734.0,37373.0,39212.0,22153.0
2.0,1.0,12.0,5550.0,0.578,0.2571,0.087,0.0187,0.0032,0.0004,0.6445,5580.0,7470.0,0.296,0.1958,0.116,0.5497092218,9689.0,25922.0,32269.0,35082.0,14677.0
1.0,1.0,41.0,6549.0,0.6293,0.1645,0.0936,0.0223,0.0115,0.0011,0.5911,5219.0,7255.0,0.2945,0.152,0.186,0.544656297,12000.0,25186.0,30657.0,32820.0,11532.0
1.0,1.0,12.0,2554.0,0.1065,0.8046,0.0427,0.0023,0.0008,0.0004,0.567,5826.0,7241.0,0.5624,0.0,0.0,0.5252768416,11002.802919101112,16187.5,25584.0,27954.0,14471.0
3.0,1.0,43.0,2424.0,0.4439,0.37,0.0297,0.0017,0.0095,0.0,0.2162,7680.0,6914.0,0.4556,0.503,0.064,0.596789424,24944.0,25552.5,34703.0,39261.0,22456.0
2.0,1.0,41.0,1111.0,0.6841,0.2439,0.0243,0.0072,0.0027,0.0,0.3294,5428.0,6977.0,0.375,0.0,0.0,0.4796573876,10507.865500438558,18213.0,26614.0,27726.0,10125.0
2.0,1.0,43.0,320.0,0.6031,0.2125,0.0813,0.0219,0.0063,0.0063,0.0,5028.0,7009.0,0.4076,0.3631,0.138,0.7661971831,9250.0,38434.0,48940.0,48898.0,18368.0
3.0,2.0,21.0,1257.0,0.0318,0.9507,0.0064,0.0,0.0,0.0,0.0453,4405.0,5200.0,0.7447,0.7428,0.219,0.5835411471,31217.0,17702.5,26675.0,28691.0,22653.0
3.0,2.0,41.0,1108.0,0.6363,0.1625,0.019,0.0135,0.0262,0.0036,0.0487,8085.0,5603.0,0.283,0.4541,0.024,0.6757142857,26500.0,39700.0,36729.0,38069.0,37908.0
